n,id,framerate,frames,bitrate,duration,size
47,nveq-JEkBHQ,30.056179999999998,5350,173900,178.511,3880396
48,nVLb-fbZMy0,25.0,9041,2934329,361.65,132650035
49,nvwU-h7kVY8,6.0012374,4849,27656,808.207,2794009
50,nwFH-IZ8HuE,29.974026000000002,4616,175301,154.144,3377710
51,Nwqs-2M1xCA,25.0,2229,560592,89.12,6244999
52,nxeH-hmmxaw,12.0,812,54087,67.708336,457772
53,NxYS-MWz5CY,24.9941,8473,283838,339.039,12029054
54,nYKn-sdsO54,29.0,11137,256714,371.57099999999997,11923444
55,NZR1-ZU_Qbg,12.0,2135,55326,177.95667,1230714
56,O79L-6wrA4k,12.0,24831,56496,2069.2683,14613241
57,o7w9-sAHCI0,12.0,1830,49063,152.50833,935319
58,o7w-C-lrfyE,12.0,1189,57316,99.10167,710019
59,oau1-39vBTE,30.033754,21354,303770,711.863,27030361
60,OBJz-Wv5lzQ,12.0,776,50139,64.69,405439
61,oco_-cevO80,29.0,19712,652059,657.691,53606727
62,oCSY-t1B_gs,30.082645,3640,159912,121.333,2425333
63,oD6K-4ZiG7g,12.0,6986,54174,583.8417,3953653
64,ogCf-gyqnhs,12.0,5108,52767,425.66666,2807674
65,oGLF-LFpkqw,12.0,1476,54674,123.0,840625
66,OHWd-vGp2T4,30.0,1290,351217,42.967,1886347
67,OJGD-fwD_bs,29.0,2086,997344,69.57,8673156
68,-OK5m-x6oBk,30.018403999999997,9786,569401,326.2,23217348
69,O-K_-VVWpPc,12.0,4848,56342,404.02667,2845490
70,oKXH-vi_gzg,12.0,2314,53837,192.86333,1297911
71,ONh-55BnQ4o,30.0837,6829,1642711,227.86599999999999,46789762
72,oNPr-3Jq_ao,12.0,2308,49809,192.35333,1197637
73,OodM-C8dQa0,30.0,10485,411136,349.467,17959832
74,OqMp-U7ATy8,29.0,10169,231392,339.273,9813161
75,ORza9w2ZMfk,30.0,7357,294900,245.64,9054914
76,ospz-M_xQmE,25.007379999999998,6777,234680,271.08,7952132
77,ow-1-P97VXI,12.0,1957,57977,163.28166000000002,1183324
78,OwD4-Fw-OPI,30.0,3491,271688,116.333,3950796
79,OWj1-OjWIP4,29.0,1184,269017,39.473,1327366
80,Oz8t-jrS04o,28.522388,5733,759594,201.165,19100478
81,ozng-p-Rhe8,29.0,16437,457351,548.415,31352314
82,O-ZqxJSIhp8,12.0,8168,54886,680.67,4669919
83,P2TN-KogtYI,30.126316,2862,72911,95.495,870340
84,p3sL-c898D8,30.021276,1411,209220,47.125,1232437
85,P9iq-g9MAN8,30.007833,11493,311512,383.19,14921068
86,Pa6X-d5S0_0,12.0,404,56496,33.66833,237766
87,PAjb-gi5sfg,29.97124,13547,689892,452.033,38981793
88,PCfQ-oNuQv8,29.0,6219,5930000,207.51666,153821724
89,PcvK-X4ZMPc,29.982302,6776,351264,226.092,9927266
90,pD_e-ma3xHg,12.0,765,50706,63.761665,404141
91,PE4C-c7AWWc,30.125,4338,389692,144.614,7044378
92,PGcz-PeVK8k,15.0,1748,250559,116.466995,3647744
93,pGeW-gsaldk,25.018019,2777,1512337,111.09899999999999,21002398
94,Phl6-2P8IIc,12.0,3275,50613,272.92667,1726706
95,PHrU-GuKspo,25.128204,1960,748215,78.498,7341674
96,pIHU7hCFOMc,12.0,983,55814,81.92,571539
97,pIL7-7em6VU,29.0,3888,428179,129.696,6941643
98,piNw-yW8fRs,29.0,5729,258878,191.12400000000002,6184743
99,pJhM-1VkN88,6.0,301,318543,50.0,1990899
